F,LP,PPS,id,Cap,PDMax,PCMax,RT,AT,PCon,PPV,Pbat,PG,SoC,SoCMin
Self Consumption, , , , , , ,A,0.0,260.4,0.0,2500.0,0.0,77.5,40.0
Self Consumption, , , , , , ,A,1.0,352.3,0.0,2500.0,0.0,77.5,40.0
Self Consumption, , , , , , ,A,2.0,387.3,0.0,2500.0,0.0,77.48,40.0
Self Consumption, , , , , , ,A,3.0,382.8,0.0,2500.0,0.0,77.47,40.0
Self Consumption, , , , , , ,A,4.0,378.9,0.0,2500.0,0.0,77.45,40.0
Self Consumption, , , , , , ,A,5.0,377.5,0.0,2500.0,0.0,77.43,40.0
Self Consumption, , , , , , ,A,6.0,375.2,0.0,2500.0,0.0,77.42,40.0
Self Consumption, , , , , , ,A,7.0,371.4,0.0,2500.0,0.0,77.4,40.0
Self Consumption, , , , , , ,A,8.0,370.5,0.0,2500.0,0.0,77.38,40.0
Self Consumption, , , , , , ,A,9.0,365.2,0.0,2500.0,0.0,77.36,40.0
Self Consumption, , , , , , ,A,10.0,339.5,0.0,2500.0,0.0,77.35,40.0
Self Consumption, , , , , , ,A,11.0,338.6,0.0,2500.0,0.0,77.33,40.0
Self Consumption, , , , , , ,A,12.0,339.4,0.0,2500.0,0.0,77.31,40.0
Self Consumption, , , , , , ,A,13.0,339.1,0.0,2500.0,0.0,77.3,40.0
Self Consumption, , , , , , ,A,14.0,338.4,0.0,2500.0,0.0,77.28,40.0
Self Consumption, , , , , , ,A,15.0,339.0,0.0,2500.0,0.0,77.26,40.0
Self Consumption, , , , , , ,A,16.0,343.0,0.0,2500.0,0.0,77.24,40.0
Self Consumption, , , , , , ,A,17.0,353.0,0.0,2500.0,0.0,77.23,40.0
Self Consumption, , , , , , ,A,18.0,316.1,0.0,2500.0,0.0,77.21,40.0
Self Consumption, , , , , , ,A,19.0,224.2,0.0,2500.0,0.0,77.19,40.0
Self Consumption, , , , , , ,A,20.0,223.8,0.0,2500.0,0.0,77.18,40.0
Self Consumption, , , , , , ,A,21.0,224.6,0.0,2500.0,0.0,77.16,40.0
Self Consumption, , , , , , ,A,22.0,227.0,0.0,2500.0,0.0,77.14,40.0
Self Consumption, , , , , , ,A,23.0,226.1,0.0,2500.0,0.0,77.12,40.0
Self Consumption, , , , , , ,A,24.0,224.8,0.0,2500.0,0.0,77.11,40.0
Self Consumption, , , , , , ,A,25.0,224.8,0.0,2500.0,0.0,77.09,40.0
Self Consumption, , , , , , ,A,26.0,225.8,0.0,2500.0,0.0,77.07,40.0
Self Consumption, , , , , , ,A,27.0,223.9,0.0,2500.0,0.0,77.06,40.0
Self Consumption, , , , , , ,A,28.0,226.6,0.0,2500.0,0.0,77.04,40.0
Self Consumption, , , , , , ,A,29.0,222.7,0.0,2500.0,0.0,77.02,40.0
Self Consumption, , , , , , ,A,30.0,221.8,0.0,2500.0,0.0,77.0,40.0
Self Consumption, , , , , , ,A,31.0,221.7,0.0,2500.0,0.0,76.99,40.0
